time,year,month,day,hour,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,power_44008
2018-07-16 14:00:00,2018.0,7.0,16.0,14.0,1.04,8.33,5.54,85.0,1016.5,20.5,19.7,2.930119296
2018-07-16 15:00:00,2018.0,7.0,16.0,15.0,1.02,8.33,5.3,84.0,1016.8,20.9,20.3,2.6964046799999997
2018-07-16 16:00:00,2018.0,7.0,16.0,16.0,0.95,8.33,5.37,81.0,1016.5,21.3,20.5,2.369901825
2018-07-16 18:00:00,2018.0,7.0,16.0,18.0,0.87,8.33,5.44,98.0,1016.1,21.4,20.8,2.0134751040000003
2018-07-16 19:00:00,2018.0,7.0,16.0,19.0,0.84,9.09,5.5,86.0,1015.9,21.4,20.8,1.8977111999999998
2018-07-16 20:00:00,2018.0,7.0,16.0,20.0,0.9,8.33,5.47,100.0,1015.5,21.4,20.3,2.1666122999999997
2018-07-16 21:00:00,2018.0,7.0,16.0,21.0,0.87,7.69,5.64,90.0,1015.6,21.2,19.9,2.087499924
2018-07-16 22:00:00,2018.0,7.0,16.0,22.0,0.89,8.33,5.75,93.0,1015.6,21.0,19.8,2.227187175
2018-07-16 23:00:00,2018.0,7.0,16.0,23.0,0.85,8.33,5.96,74.0,1015.3,20.9,20.3,2.1056828999999997
2018-07-17 00:00:00,2018.0,7.0,17.0,0.0,0.86,8.33,5.87,82.0,1015.4,21.0,19.9,2.1229700279999997
2018-07-17 01:00:00,2018.0,7.0,17.0,1.0,0.92,7.69,5.63,95.0,1015.9,20.9,19.8,2.330198448
2018-07-17 02:00:00,2018.0,7.0,17.0,2.0,0.78,8.33,5.36,84.0,1015.9,20.5,20.0,1.5946407360000003
2018-07-17 03:00:00,2018.0,7.0,17.0,3.0,0.9,4.55,5.31,221.0,1015.8,20.5,19.9,2.1032379
2018-07-17 04:00:00,2018.0,7.0,17.0,4.0,0.88,8.33,5.04,98.0,1015.7,20.7,19.6,1.908555264
2018-07-17 05:00:00,2018.0,7.0,17.0,5.0,0.85,9.09,5.22,127.0,1015.5,20.8,19.4,1.8442390499999997
2018-07-17 06:00:00,2018.0,7.0,17.0,6.0,0.81,5.26,4.66,200.0,1015.4,20.8,19.2,1.495081314
2018-07-17 07:00:00,2018.0,7.0,17.0,7.0,0.86,10.0,4.92,92.0,1015.3,20.9,19.1,1.7793888479999997
2018-07-17 08:00:00,2018.0,7.0,17.0,8.0,0.84,9.09,4.89,72.0,1015.2,20.9,19.0,1.6872377759999997
2018-07-17 10:00:00,2018.0,7.0,17.0,10.0,0.84,8.33,5.38,101.0,1015.1,21.1,18.9,1.8563065919999997
2018-07-17 11:00:00,2018.0,7.0,17.0,11.0,0.89,9.09,5.57,71.0,1015.1,20.7,16.0,2.157466533
2018-07-17 12:00:00,2018.0,7.0,17.0,12.0,0.87,9.09,5.19,65.0,1015.2,20.5,15.4,1.9209440790000003
2018-07-17 13:00:00,2018.0,7.0,17.0,13.0,0.9,8.33,5.08,84.0,1015.0,20.8,16.0,2.0121372
2018-07-17 14:00:00,2018.0,7.0,17.0,14.0,0.85,7.69,4.66,103.0,1014.6,21.2,18.1,1.64638965
2018-07-17 16:00:00,2018.0,7.0,17.0,16.0,0.93,5.26,4.55,205.0,1013.5,21.7,19.7,1.9243592550000002
2018-07-17 17:00:00,2018.0,7.0,17.0,17.0,0.94,5.56,4.65,192.0,1013.2,21.5,19.8,2.00917386
2018-07-17 18:00:00,2018.0,7.0,17.0,18.0,0.94,8.33,4.7,110.0,1012.7,21.7,19.8,2.03077788
